no,brand,model,year,zone,url
33,BMW,X5 xDrive45e (Hibrido/Aut),2020,Metepec,https://www.google.com/search?q=BMW+X5+xDrive45e+%28Hibrido%2FAut%29+2020+Metepec+seminuevo
34,BMW,X3 xDrive30e (Hibrido/Aut),2023,Toluca,https://www.google.com/search?q=BMW+X3+xDrive30e+%28Hibrido%2FAut%29+2023+Toluca+seminuevo
34,BMW,X3 xDrive30e (Hibrido/Aut),2023,CDMX,https://www.google.com/search?q=BMW+X3+xDrive30e+%28Hibrido%2FAut%29+2023+CDMX+seminuevo
34,BMW,X3 xDrive30e (Hibrido/Aut),2023,Metepec,https://www.google.com/search?q=BMW+X3+xDrive30e+%28Hibrido%2FAut%29+2023+Metepec+seminuevo
35,MINI,MINI Countryman S ALL4 Aut.,2025,Toluca,https://www.google.com/search?q=MINI+MINI+Countryman+S+ALL4+Aut.+2025+Toluca+seminuevo
35,MINI,MINI Countryman S ALL4 Aut.,2025,CDMX,https://www.google.com/search?q=MINI+MINI+Countryman+S+ALL4+Aut.+2025+CDMX+seminuevo
35,MINI,MINI Countryman S ALL4 Aut.,2025,Metepec,https://www.google.com/search?q=MINI+MINI+Countryman+S+ALL4+Aut.+2025+Metepec+seminuevo
36,MINI,MINI Countryman S ALL4 Aut.,2025,Toluca,https://www.google.com/search?q=MINI+MINI+Countryman+S+ALL4+Aut.+2025+Toluca+seminuevo
36,MINI,MINI Countryman S ALL4 Aut.,2025,CDMX,https://www.google.com/search?q=MINI+MINI+Countryman+S+ALL4+Aut.+2025+CDMX+seminuevo
36,MINI,MINI Countryman S ALL4 Aut.,2025,Metepec,https://www.google.com/search?q=MINI+MINI+Countryman+S+ALL4+Aut.+2025+Metepec+seminuevo
37,BMW,X4 xDrive30i (Automático),2025,Toluca,https://www.google.com/search?q=BMW+X4+xDrive30i+%28Autom%C3%A1tico%29+2025+Toluca+seminuevo
37,BMW,X4 xDrive30i (Automático),2025,CDMX,https://www.google.com/search?q=BMW+X4+xDrive30i+%28Autom%C3%A1tico%29+2025+CDMX+seminuevo
37,BMW,X4 xDrive30i (Automático),2025,Metepec,https://www.google.com/search?q=BMW+X4+xDrive30i+%28Autom%C3%A1tico%29+2025+Metepec+seminuevo
39,BMW,330e (Hibrido/Aut),2023,Toluca,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+Toluca+seminuevo
39,BMW,330e (Hibrido/Aut),2023,CDMX,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+CDMX+seminuevo
39,BMW,330e (Hibrido/Aut),2023,Metepec,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+Metepec+seminuevo
40,BMW,X3 xDrive30e Hibrido,2024,Toluca,https://www.google.com/search?q=BMW+X3+xDrive30e+Hibrido+2024+Toluca+seminuevo
40,BMW,X3 xDrive30e Hibrido,2024,CDMX,https://www.google.com/search?q=BMW+X3+xDrive30e+Hibrido+2024+CDMX+seminuevo
40,BMW,X3 xDrive30e Hibrido,2024,Metepec,https://www.google.com/search?q=BMW+X3+xDrive30e+Hibrido+2024+Metepec+seminuevo
42,BMW,330e (Hibrido/Aut),2023,Toluca,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+Toluca+seminuevo
42,BMW,330e (Hibrido/Aut),2023,CDMX,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+CDMX+seminuevo
42,BMW,330e (Hibrido/Aut),2023,Metepec,https://www.google.com/search?q=BMW+330e+%28Hibrido%2FAut%29+2023+Metepec+seminuevo
43,MINI,Cooper SE Iconic (Electrico/Aut.),2024,Toluca,https://www.google.com/search?q=MINI+Cooper+SE+Iconic+%28Electrico%2FAut.%29+2024+Toluca+seminuevo
